Step,Voronoi+FNO Val,Voronoi+UNet Val,Voronoi+UNet Train,Voronoi+FNO Train
0,0.066159867,0.057208318,0.057279378,0.064997151
1,0.065312475,0.029912023,0.030385183,0.06419573
2,0.055468611,0.033929951,0.034138586,0.053905755
3,0.052437864,0.029027434,0.028909951,0.051394753
4,0.050492544,0.018372327,0.01844294,0.04946202
5,0.046320185,0.0190005,0.018879533,0.045006599
6,0.044749569,0.01670566,0.016619192,0.044163816
7,0.045100879,0.018350646,0.018332146,0.045358319
8,0.033376724,0.016132411,0.015819605,0.03309815
9,0.028437432,0.01502301,0.015248911,0.027948635
10,0.026192432,0.014231931,0.01411284,0.025861485
11,0.027370829,0.013731472,0.013399427,0.027056925
12,0.030065376,0.01408396,0.013648486,0.029647436
13,0.021420855,0.01358518,0.013401804,0.020835582
14,0.026742438,0.013560704,0.013431829,0.026410727
15,0.018937914,0.016249647,0.015875919,0.018323697
16,0.018732121,0.013081806,0.012970811,0.018140748
17,0.019506386,0.013201251,0.01309684,0.019154064
18,0.021000734,0.013054051,0.012877473,0.020688219
19,0.015303474,0.012208115,0.011671891,0.014647671
20,0.015768005,0.012283773,0.01177909,0.015008766
21,0.026047308,0.011984844,0.011529844,0.025975285
22,0.021663893,0.012352673,0.011851343,0.021290889
23,0.014568038,0.012252958,0.011513371,0.013607483
24,0.014209733,0.011375184,0.010850442,0.013210009
25,0.014624415,0.011188974,0.010528009,0.014022044
26,0.01731641,0.011676793,0.01123959,0.016568009
27,0.018809212,0.010890368,0.010245942,0.018475687
28,0.01495914,0.010596554,0.009810114,0.014196224
29,0.017687036,0.010770544,0.009815616,0.017148582
30,0.013279431,0.011148946,0.010189053,0.012350841
31,0.015411889,0.011351543,0.010613064,0.014608853
32,0.011525389,0.010537204,0.009759277,0.010708823
33,0.012709548,0.010516097,0.00941274,0.011640985
34,0.012291712,0.009942998,0.008941364,0.011492031
35,0.013985896,0.01083655,0.009773325,0.013034645
36,0.012765069,0.010221666,0.009091262,0.012041875
37,0.010997535,0.009728181,0.00845483,0.009978279
38,0.012647394,0.010024227,0.008876292,0.011642772
39,0.01303998,0.009614209,0.008331139,0.012467338
40,0.010493863,0.010234226,0.009102747,0.009399288
41,0.011799891,0.009645198,0.0081667,0.010729333
42,0.010251165,0.009794187,0.008456311,0.009123766
43,0.010741782,0.009763523,0.008532705,0.009769082
44,0.011142049,0.009475918,0.00802249,0.01024149
45,0.010538169,0.010107649,0.008587644,0.009434861
46,0.011347552,0.009249701,0.00784789,0.010294236
